Product,Brands,Unit,Image URL
Rice,"India Gate, Daawat, Local",packet,https://via.placeholder.com/150?text=Rice
Wheat Flour (Atta),"Aashirvaad, Patanjali, Local",piece,https://via.placeholder.com/150?text=Wheat+Flour+(Atta)
Basmati Rice,"India Gate, Daawat, Local",kg,https://via.placeholder.com/150?text=Basmati+Rice
Poha,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Poha
Suji (Rava),"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Suji+(Rava)
Besan,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Besan
Moong Dal,"Unbranded, local brands",piece,https://via.placeholder.com/150?text=Moong+Dal
Toor Dal (Arhar Dal),"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Toor+Dal+(Arhar+Dal)
Masoor Dal,"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Masoor+Dal
Chana Dal,"Unbranded, local brands",piece,https://via.placeholder.com/150?text=Chana+Dal
Urad Dal,"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Urad+Dal
Kabuli Chana (Chickpeas),"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Kabuli+Chana+(Chickpeas)
Rajma (Kidney Beans),"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Rajma+(Kidney+Beans)
Black Chana,"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Black+Chana
Green Gram,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Green+Gram
Refined Sunflower Oil,"Fortune, Dhara, Local",litre,https://via.placeholder.com/150?text=Refined+Sunflower+Oil
Mustard Oil,"Fortune, Dhara, Local",kg,https://via.placeholder.com/150?text=Mustard+Oil
Soybean Oil,"Fortune, Dhara, Local",kg,https://via.placeholder.com/150?text=Soybean+Oil
Groundnut Oil,"Fortune, Dhara, Local",ml,https://via.placeholder.com/150?text=Groundnut+Oil
Coconut Oil,"Fortune, Dhara, Local",gm,https://via.placeholder.com/150?text=Coconut+Oil
Ghee,"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Ghee
Vanaspati Ghee,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Vanaspati+Ghee
Olive Oil (small pack),"Fortune, Dhara, Local",kg,https://via.placeholder.com/150?text=Olive+Oil+(small+pack)
Turmeric Powder,"Unbranded, local brands",piece,https://via.placeholder.com/150?text=Turmeric+Powder
Red Chilli Powder,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Red+Chilli+Powder
Coriander Powder,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Coriander+Powder
Cumin Seeds,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Cumin+Seeds
Mustard Seeds,"Unbranded, local brands",piece,https://via.placeholder.com/150?text=Mustard+Seeds
Black Pepper,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Black+Pepper
Cloves,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Cloves
Cinnamon,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Cinnamon
Cardamom (Elaichi),"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Cardamom+(Elaichi)
Bay Leaf,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Bay+Leaf
Dry Red Chillies,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Dry+Red+Chillies
Kasuri Methi,"Unbranded, local brands",piece,https://via.placeholder.com/150?text=Kasuri+Methi
Garam Masala,"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Garam+Masala
Kitchen King Masala,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Kitchen+King+Masala
Chaat Masala,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Chaat+Masala
Sambhar Masala,"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Sambhar+Masala
Iodized Salt,"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Iodized+Salt
Black Salt,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Black+Salt
Sugar,"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Sugar
Jaggery,"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Jaggery
Brown Sugar,"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Brown+Sugar
Tata Tea,"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Tata+Tea
Red Label Tea,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Red+Label+Tea
Society Tea,"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Society+Tea
Nescafe Coffee,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Nescafe+Coffee
Bru Coffee,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Bru+Coffee
Green Tea,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Green+Tea
Horlicks,"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Horlicks
Bournvita,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Bournvita
Complan,"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Complan
Boost,"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Boost
Parle-G Biscuit,"Parle, Britannia, Sunfeast",gm,https://via.placeholder.com/150?text=Parle-G+Biscuit
Marie Gold Biscuit,"Parle, Britannia, Sunfeast",packet,https://via.placeholder.com/150?text=Marie+Gold+Biscuit
Good Day Biscuit,"Parle, Britannia, Sunfeast",ml,https://via.placeholder.com/150?text=Good+Day+Biscuit
Hide & Seek Biscuit,"Parle, Britannia, Sunfeast",ml,https://via.placeholder.com/150?text=Hide+&+Seek+Biscuit
Oreo Biscuit,"Parle, Britannia, Sunfeast",kg,https://via.placeholder.com/150?text=Oreo+Biscuit
Jim Jam Biscuit,"Parle, Britannia, Sunfeast",packet,https://via.placeholder.com/150?text=Jim+Jam+Biscuit
50-50 Biscuit,"Parle, Britannia, Sunfeast",gm,https://via.placeholder.com/150?text=50-50+Biscuit
Monaco Biscuit,"Parle, Britannia, Sunfeast",kg,https://via.placeholder.com/150?text=Monaco+Biscuit
Bingo Chips,"Lays, Bingo, Haldiram's",piece,https://via.placeholder.com/150?text=Bingo+Chips
Lays Chips,"Lays, Bingo, Haldiram's",kg,https://via.placeholder.com/150?text=Lays+Chips
Kurkure,"Unbranded, local brands",piece,https://via.placeholder.com/150?text=Kurkure
Haldiram's Namkeen,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Haldiram's+Namkeen
Peanut Chikki,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Peanut+Chikki
Popcorn Packet,"Unbranded, local brands",piece,https://via.placeholder.com/150?text=Popcorn+Packet
Nachos,"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Nachos
